zip_code,city,county
47432,French Lick,Orange
47433,Gosport,Owen
47434,Harrodsburg,Monroe
47435,Helmsburg,Brown
47436,Heltonville,Lawrence
47437,Huron,Lawrence
47438,Jasonville,Greene
47439,Koleen,Greene
47441,Linton,Greene
47443,Lyons,Greene
47445,Midland,Greene
47446,Mitchell,Lawrence
47448,Nashville,Brown
47449,Newberry,Greene
47451,Oolitic,Lawrence
47452,Orleans,Orange
47453,Owensburg,Greene
47454,Paoli,Orange
47455,Patricksburg,Owen
47456,Quincy,Owen
47457,Scotland,Greene
47458,Smithville,Monroe
47459,Solsberry,Greene
47460,Spencer,Owen
47462,Springville,Lawrence
47463,Stanford,Monroe
47464,Stinesville,Monroe
47465,Switz City,Greene
47467,Tunnelton,Lawrence
47468,Unionville,Monroe
47469,West Baden Springs,Orange
47470,Williams,Lawrence
47471,Worthington,Greene
47490,Bloomington,Monroe
47501,Washington,Daviess
47512,Bicknell,Knox
47513,Birdseye,Dubois
47514,Branchville,Perry
47515,Bristow,Perry
47516,Bruceville,Knox
47519,Cannelburg,Daviess
47520,Cannelton,Perry
47521,Celestine,Dubois
47522,Crane,Martin
47523,Dale,Spencer
47524,Decker,Knox
47525,Derby,Perry
47527,Dubois,Dubois
47528,Edwardsport,Knox
47529,Elnora,Daviess
47531,Evanston,Spencer
47532,Ferdinand,Dubois
47535,Freelandville,Knox
47536,Fulda,Spencer
47537,Gentryville,Spencer
47541,Holland,Dubois
47542,Huntingburg,Dubois
47545,Ireland,Dubois
47546,Jasper,Dubois
47547,Jasper,Dubois
47549,Jasper,Dubois
47550,Lamar,Spencer
47551,Leopold,Perry
47552,Lincoln City,Spencer
47553,Loogootee,Martin
47556,Mariah Hill,Spencer
47557,Monroe City,Knox
47558,Montgomery,Daviess
47561,Oaktown,Knox
47562,Odon,Daviess
47564,Otwell,Pike
47567,Petersburg,Pike
47568,Plainville,Daviess
47573,Ragsdale,Knox
47574,Rome,Perry
47575,Saint Anthony,Dubois
47576,Saint Croix,Perry
47577,Saint Meinrad,Spencer
47578,Sandborn,Knox
47579,Santa Claus,Spencer
47580,Schnellville,Dubois
47581,Shoals,Martin
47584,Spurgeon,Pike
47585,Stendal,Pike
47586,Tell City,Perry
47588,Troy,Spencer
47590,Velpen,Pike
47591,Vincennes,Knox
47596,Westphalia,Knox
47597,Wheatland,Knox
47598,Winslow,Pike
47601,Boonville,Warrick
47610,Chandler,Warrick
47611,Chrisney,Spencer
47612,Cynthiana,Posey
47613,Elberfeld,Warrick
47614,Folsomville,Warrick
47615,Grandview,Spencer
47616,Griffin,Posey
47617,Hatfield,Spencer
47618,Inglefield,Vanderburgh
47619,Lynnville,Warrick
47620,Mount Vernon,Posey
47629,Newburgh,Warrick
47630,Newburgh,Warrick
47631,New Harmony,Posey
47633,Poseyville,Posey
47634,Richland,Spencer
47635,Rockport,Spencer
47637,Tennyson,Warrick
47638,Wadesville,Posey
47639,Haubstadt,Gibson
47640,Hazleton,Gibson
47647,Buckskin,Gibson
47648,Fort Branch,Gibson
47649,Francisco,Gibson
47654,Mackey,Gibson
47660,Oakland City,Gibson
47665,Owensville,Gibson
47666,Patoka,Gibson
47670,Princeton,Gibson
47683,Somerville,Gibson
47701,Evansville,Vanderburgh
47702,Evansville,Vanderburgh
47703,Evansville,Vanderburgh
47704,Evansville,Vanderburgh
47705,Evansville,Vanderburgh
47706,Evansville,Vanderburgh
47708,Evansville,Vanderburgh
47710,Evansville,Vanderburgh
47711,Evansville,Vanderburgh
47712,Evansville,Vanderburgh
47713,Evansville,Vanderburgh
47714,Evansville,Vanderburgh
47715,Evansville,Vanderburgh
47716,Evansville,Vanderburgh
47719,Evansville,Vanderburgh
47720,Evansville,Vanderburgh
47721,Evansville,Vanderburgh
47722,Evansville,Vanderburgh
47724,Evansville,Vanderburgh
47725,Evansville,Vanderburgh
47727,Evansville,Vanderburgh
47728,Evansville,Vanderburgh
47730,Evansville,Vanderburgh
47731,Evansville,Vanderburgh
47732,Evansville,Vanderburgh
47733,Evansville,Vanderburgh
47734,Evansville,Vanderburgh
47735,Evansville,Vanderburgh
47736,Evansville,Vanderburgh
47737,Evansville,Vanderburgh
47739,Evansville,Vanderburgh
47740,Evansville,Vanderburgh
47741,Evansville,Vanderburgh
47744,Evansville,Vanderburgh
47747,Evansville,Vanderburgh
47750,Evansville,Vanderburgh
47801,Terre Haute,Vigo
47802,Terre Haute,Vigo
47803,Terre Haute,Vigo
47804,Terre Haute,Vigo
47805,Terre Haute,Vigo
47807,Terre Haute,Vigo
47808,Terre Haute,Vigo
47809,Terre Haute,Vigo
47811,Terre Haute,Vigo
47812,Terre Haute,Vigo
47813,Terre Haute,Vigo
47814,Terre Haute,Vigo
47830,Bellmore,Parke
47831,Blanford,Vermillion
47832,Bloomingdale,Parke
47833,Bowling Green,Clay
47834,Brazil,Clay
47836,Bridgeton,Parke
47837,Carbon,Clay
47838,Carlisle,Sullivan
47840,Centerpoint,Clay
47841,Clay City,Clay
47842,Clinton,Vermillion
47845,Coalmont,Clay
47846,Cory,Clay
47847,Dana,Vermillion
47848,Dugger,Sullivan
47849,Fairbanks,Sullivan
47850,Farmersburg,Sullivan
47851,Fontanet,Vigo
47852,Graysville,Sullivan
47853,Harmony,Clay
47854,Hillsdale,Vermillion
47855,Hymera,Sullivan
47856,Judson,Parke
47857,Knightsville,Clay
47858,Lewis,Vigo
47859,Marshall,Parke
47860,Mecca,Parke
47861,Merom,Sullivan
47862,Montezuma,Parke
47863,New Goshen,Vigo
47864,New Lebanon,Sullivan
47865,Paxton,Sullivan
47866,Pimento,Vigo
47868,Poland,Owen
47869,Prairie Creek,Vigo
47870,Prairieton,Vigo
47871,Riley,Vigo
47872,Rockville,Parke
47874,Rosedale,Parke
47875,Saint Bernice,Vermillion
47876,Saint Mary Of The Woods,Vigo
47878,Seelyville,Vigo
47879,Shelburn,Sullivan
47880,Shepardsville,Vigo
47881,Staunton,Clay
47882,Sullivan,Sullivan
47884,Universal,Vermillion
47885,West Terre Haute,Vigo
47901,Lafayette,Tippecanoe
47902,Lafayette,Tippecanoe
47903,Lafayette,Tippecanoe
47904,Lafayette,Tippecanoe
47905,Lafayette,Tippecanoe
47906,West Lafayette,Tippecanoe
47907,West Lafayette,Tippecanoe
47909,Lafayette,Tippecanoe
47916,Alamo,Montgomery
47917,Ambia,Benton
47918,Attica,Fountain
47920,Battle Ground,Tippecanoe
47921,Boswell,Benton
47922,Brook,Newton
47923,Brookston,White
47924,Buck Creek,Tippecanoe
47925,Buffalo,White
47926,Burnettsville,White
47928,Cayuga,Vermillion
47929,Chalmers,White
47930,Clarks Hill,Tippecanoe
47932,Covington,Fountain
47933,Crawfordsville,Montgomery
47934,Crawfordsville,Montgomery
47935,Crawfordsville,Montgomery
47936,Crawfordsville,Montgomery
47937,Crawfordsville,Montgomery
47938,Crawfordsville,Montgomery
47939,Crawfordsville,Montgomery
47940,Darlington,Montgomery
47941,Dayton,Tippecanoe
47942,Earl Park,Benton
47943,Fair Oaks,Jasper
47944,Fowler,Benton
47946,Francesville,Pulaski
47948,Goodland,Newton
47949,Hillsboro,Fountain
47950,Idaville,White
47951,Kentland,Newton
47952,Kingman,Fountain
47954,Ladoga,Montgomery
47955,Linden,Montgomery
47957,Medaryville,Pulaski
47958,Mellott,Fountain
47959,Monon,White
47960,Monticello,White
47962,Montmorenci,Tippecanoe
47963,Morocco,Newton
47964,Mount Ayr,Newton
47965,New Market,Montgomery
47966,Newport,Vermillion
47967,New Richmond,Montgomery
